"annotation_id","annotator","created_at","id","lead_time","ner_label","pos_label","text","updated_at"
11,"2","2025-01-23T03:54:58.195306Z",11,181.000,"[{""start"":15,""end"":25,""text"":""Yami Gautam"",""labels"":[""PERSON""]},{""start"":42,""end"":52,""text"":""Yami Gautam"",""labels"":[""PERSON""]}]","[{""start"":0,""end"":13,""text"":""Happy Birthday"",""labels"":[""NOUN""]},{""start"":14,""end"":15,""text"":""-"",""labels"":[""PUNCT""]},{""start"":15,""end"":25,""text"":""Yami Gautam"",""labels"":[""PROPN""]},{""start"":26,""end"":30,""text"":""IAS"",""labels"":[""TITLE""]},{""start"":31,""end"":36,""text"":""बनना"",""labels"":[""VERB""]},{""start"":37,""end"":41,""text"":""चाहती"",""labels"":[""VERB""]},{""start"":42,""end"":46,""text"":""थीं"",""labels"":[""AUX""]},{""start"":47,""end"":54,""text"":""actress"",""labels"":[""TITLE""]},{""start"":55,""end"":65,""text"":""Yami Gautam"",""labels"":[""PROPN""]}]","Happy Birthday Yami Gautam: IAS बनना चाहती थीं actress Yami Gautam","2025-01-23T03:54:58.195306Z"
12,"2","2025-01-23T03:55:58.195306Z",12,211.000,"[{""start"":0,""end"":25,""text"":""Uttarkashi Tunnel Rescue"",""labels"":[""EVENT""]},{""start"":27,""end"":37,""text"":""उत्तरकाशी टनल"",""labels"":[""LOCATION""]},{""start"":54,""end"":58,""text"":""Rate"",""labels"":[""PERSON""]}]","[{""start"":0,""end"":25,""text"":""Uttarkashi Tunnel Rescue"",""labels"":[""PROPN""]},{""start"":26,""end"":37,""text"":""उत्तरकाशी टनल"",""labels"":[""LOCATION""]},{""start"":38,""end"":41,""text"":""में"",""labels"":[""ADP""]},{""start"":42,""end"":48,""text"":""हाथों से"",""labels"":[""NOUN""]},{""start"":49,""end"":52,""text"":""खुदाई"",""labels"":[""NOUN""]},{""start"":53,""end"":59,""text"":""करने"",""labels"":[""VERB""]},{""start"":60,""end"":64,""text"":""Rate"",""labels"":[""PROPN""]},{""start"":65,""end"":72,""text"":""माइनर्स"",""labels"":[""NOUN""]},{""start"":73,""end"":75,""text"":""पहुंचे"",""labels"":[""VERB""]}]","Uttarkashi Tunnel Rescue: उत्तरकाशी टनल में हाथों से खुदाई करने Rate माइनर्स पहुंचे","2025-01-23T03:55:58.195306Z"
13,"2","2025-01-23T03:56:58.195306Z",13,201.000,"[{""start"":22,""end"":27,""text"":""Bihar"",""labels"":[""LOCATION""]},{""start"":55,""end"":60,""text"":""गंगा"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":18,""text"":""Kartik Purnima 2023"",""labels"":[""NOUN""]},{""start"":19,""end"":21,""text"":""-"",""labels"":[""PUNCT""]},{""start"":22,""end"":27,""text"":""Bihar"",""labels"":[""PROPN""]},{""start"":28,""end"":31,""text"":""में"",""labels"":[""ADP""]},{""start"":32,""end"":35,""text"":""भी"",""labels"":[""ADV""]},{""start"":36,""end"":42,""text"":""लोगों ने"",""labels"":[""NOUN""]},{""start"":43,""end"":48,""text"":""गंगा"",""labels"":[""PROPN""]},{""start"":49,""end"":53,""text"":""स्नान"",""labels"":[""NOUN""]},{""start"":54,""end"":58,""text"":""किया"",""labels"":[""VERB""]}]","Kartik Purnima 2023: कार्तिक पूर्णिमा पर Bihar में भी लोगों ने गंगा स्नान किया | Bihar","2025-01-23T03:56:58.195306Z"
14,"2","2025-01-23T03:57:58.195306Z",14,211.500,"[{""start"":22,""end"":32,""text"":""काशी-संगम"",""labels"":[""LOCATION""]},{""start"":67,""end"":72,""text"":""सरयू"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":18,""text"":""Kartik Purnima 2023"",""labels"":[""NOUN""]},{""start"":19,""end"":21,""text"":""-"",""labels"":[""PUNCT""]},{""start"":22,""end"":32,""text"":""काशी-संगम"",""labels"":[""PROPN""]},{""start"":33,""end"":36,""text"":""में"",""labels"":[""ADP""]},{""start"":37,""end"":41,""text"":""आस्था"",""labels"":[""NOUN""]},{""start"":42,""end"":44,""text"":""की"",""labels"":[""ADP""]},{""start"":45,""end"":51,""text"":""डूबकी"",""labels"":[""NOUN""]},{""start"":52,""end"":56,""text"":""सरयू"",""labels"":[""PROPN""]},{""start"":57,""end"":59,""text"":""के"",""labels"":[""ADP""]},{""start"":60,""end"":65,""text"":""घाटों"",""labels"":[""NOUN""]},{""start"":66,""end"":70,""text"":""पर"",""labels"":[""ADP""]},{""start"":71,""end"":77,""text"":""15 lakh"",""labels"":[""NUM""]},{""start"":78,""end"":82,""text"":""लोग"",""labels"":[""NOUN""]},{""start"":83,""end"":86,""text"":""पहुंचे"",""labels"":[""VERB""]}]","Kartik Purnima 2023: पूर्णिमा पर काशी-संगम में आस्था की डूबकी, सरयू के घाटों पर 15 lakh लोग पहुंचे","2025-01-23T03:57:58.195306Z"
15,"2","2025-01-23T03:58:58.195306Z",15,191.500,"[{""start"":0,""end"":25,""text"":""Uttarkashi Tunnel Rescue"",""labels"":[""EVENT""]},{""start"":27,""end"":42,""text"":""उत्तरकाशी tunnel"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":25,""text"":""Uttarkashi Tunnel Rescue"",""labels"":[""PROPN""]},{""start"":26,""end"":42,""text"":""उत्तरकाशी tunnel"",""labels"":[""PROPN""]},{""start"":43,""end"":45,""text"":""में"",""labels"":[""ADP""]},{""start"":46,""end"":53,""text"":""शुक्रवार"",""labels"":[""DATE""]},{""start"":54,""end"":56,""text"":""से"",""labels"":[""ADP""]},{""start"":57,""end"":59,""text"":""बंद"",""labels"":[""VERB""]},{""start"":60,""end"":66,""text"":""rescue"",""labels"":[""NOUN""]},{""start"":67,""end"":70,""text"":""आज"",""labels"":[""ADV""]},{""start"":71,""end"":73,""text"":""शुरू"",""labels"":[""VERB""]},{""start"":74,""end"":78,""text"":""होगा"",""labels"":[""AUX""]}]","Uttarkashi Tunnel Rescue: उत्तरकाशी tunnel में शुक्रवार से बंद rescue आज शुरू होगा |","2025-01-23T03:58:58.195306Z"
16,"2","2025-01-23T03:59:58.195306Z",16,176.000,"[{""start"":0,""end"":17,""text"":""Amitabh Bachchan"",""labels"":[""PERSON""]},{""start"":24,""end"":30,""text"":""shweta"",""labels"":[""PERSON""]},{""start"":36,""end"":43,""text"":""प्रतीक्षा बंगला"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":17,""text"":""Amitabh Bachchan"",""labels"":[""PROPN""]},{""start"":18,""end"":21,""text"":""ने"",""labels"":[""VERB""]},{""start"":22,""end"":24,""text"":""बेटी"",""labels"":[""NOUN""]},{""start"":25,""end"":30,""text"":""shweta"",""labels"":[""PROPN""]},{""start"":31,""end"":33,""text"":""को"",""labels"":[""ADP""]},{""start"":34,""end"":43,""text"":""प्रतीक्षा बंगला"",""labels"":[""LOCATION""]},{""start"":44,""end"":48,""text"":""gift"",""labels"":[""VERB""]},{""start"":49,""end"":53,""text"":""किया"",""labels"":[""VERB""]}]","Amitabh Bachchan: अमिताभ ने बेटी shweta को प्रतीक्षा बंगला gift किया |","2025-01-23T03:59:58.195306Z"
17,"2","2025-01-23T04:00:58.195306Z",17,191.000,"[{""start"":0,""end"":30,""text"":""Uttarkashi Tunnel Rescue Updates"",""labels"":[""EVENT""]},{""start"":32,""end"":45,""text"":""उत्तरकाशी टनल"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":30,""text"":""Uttarkashi Tunnel Rescue Updates"",""labels"":[""PROPN""]},{""start"":31,""end"":45,""text"":""उत्तरकाशी टनल"",""labels"":[""LOCATION""]},{""start"":46,""end"":48,""text"":""में"",""labels"":[""ADP""]},{""start"":49,""end"":53,""text"":""बाकी"",""labels"":[""ADJ""]},{""start"":54,""end"":57,""text"":""खुदाई"",""labels"":[""NOUN""]},{""start"":58,""end"":60,""text"":""हाथ"",""labels"":[""NOUN""]},{""start"":61,""end"":63,""text"":""से"",""labels"":[""ADP""]},{""start"":64,""end"":67,""text"":""होगी"",""labels"":[""AUX""]}]","Uttarkashi Tunnel Rescue Updates: उत्तरकाशी टनल में बाकी खुदाई हाथ से होगी","2025-01-23T04:00:58.195306Z"
18,"2","2025-01-23T04:01:58.195306Z",18,201.500,"[{""start"":0,""end"":6,""text"":""PM Modi"",""labels"":[""PERSON""]},{""start"":10,""end"":16,""text"":""Mathura"",""labels"":[""LOCATION""]},{""start"":20,""end"":22,""text"":""PM"",""labels"":[""TITLE""]},{""start"":36,""end"":43,""text"":""mathura"",""labels"":[""LOCATION""]},{""start"":70,""end"":83,""text"":""श्रीकृष्ण जन्मभूमि"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":6,""text"":""PM Modi"",""labels"":[""PROPN""]},{""start"":7,""end"":9,""text"":""In"",""labels"":[""ADP""]},{""start"":10,""end"":16,""text"":""Mathura"",""labels"":[""PROPN""]},{""start"":17,""end"":19,""text"":""PM"",""labels"":[""PROPN""]},{""start"":20,""end"":22,""text"":""ने"",""labels"":[""VERB""]},{""start"":23,""end"":31,""text"":""thursday"",""labels"":[""DATE""]},{""start"":32,""end"":34,""text"":""को"",""labels"":[""ADP""]},{""start"":35,""end"":43,""text"":""mathura"",""labels"":[""PROPN""]},{""start"":44,""end"":52,""text"":""पहुंचकर"",""labels"":[""VERB""]},{""start"":53,""end"":58,""text"":""सबसे"",""labels"":[""ADV""]},{""start"":59,""end"":64,""text"":""पहले"",""labels"":[""ADV""]},{""start"":65,""end"":83,""text"":""श्रीकृष्ण जन्मभूमि"",""labels"":[""LOCATION""]},{""start"":84,""end"":86,""text"":""के"",""labels"":[""ADP""]},{""start"":87,""end"":91,""text"":""दर्शन"",""labels"":[""NOUN""]},{""start"":92,""end"":95,""text"":""किए"",""labels"":[""VERB""]}]","PM Modi In Mathura: PM ने thursday को mathura पहुंचकर सबसे पहले श्रीकृष्ण जन्मभूमि के दर्शन किए|","2025-01-23T04:01:58.195306Z"
19,"2","2025-01-23T04:02:58.195306Z",19,181.000,"[{""start"":0,""end"":9,""text"":""राजस्थान"",""labels"":[""LOCATION""]},{""start"":14,""end"":16,""text"":""CM"",""labels"":[""TITLE""]},{""start"":42,""end"":54,""text"":""गजेंद्र सिंह शेखावत"",""labels"":[""PERSON""]}]","[{""start"":0,""end"":9,""text"":""राजस्थान"",""labels"":[""PROPN""]},{""start"":10,""end"":12,""text"":""के"",""labels"":[""ADP""]},{""start"":13,""end"":15,""text"":""CM"",""labels"":[""TITLE""]},{""start"":16,""end"":20,""text"":""बनने"",""labels"":[""VERB""]},{""start"":21,""end"":23,""text"":""के"",""labels"":[""ADP""]},{""start"":24,""end"":29,""text"":""सवाल"",""labels"":[""NOUN""]},{""start"":30,""end"":32,""text"":""पर"",""labels"":[""ADP""]},{""start"":33,""end"":36,""text"":""क्या"",""labels"":[""PRON""]},{""start"":37,""end"":39,""text"":""बोले"",""labels"":[""VERB""]},{""start"":40,""end"":46,""text"":""केंद्रीय"",""labels"":[""ADJ""]},{""start"":47,""end"":51,""text"":""मंत्री"",""labels"":[""NOUN""]},{""start"":52,""end"":54,""text"":""गजेंद्र सिंह शेखावत"",""labels"":[""PROPN""]},{""start"":55,""end"":57,""text"":""..."",""labels"":[""PUNCT""]},{""start"":58,""end"":61,""text"":""देखिए"",""labels"":[""VERB""]},{""start"":62,""end"":65,""text"":""पूरा"",""labels"":[""ADJ""]},{""start"":66,""end"":75,""text"":""Interview"",""labels"":[""NOUN""]}]","राजस्थान के CM बनने के सवाल पर क्या बोले केंद्रीय मंत्री गजेंद्र सिंह शेखावत... देखिए पूरा Interview","2025-01-23T04:02:58.195306Z"
20,"2","2025-01-23T04:03:58.195306Z",20,196.000,"[{""start"":26,""end"":33,""text"":""World Cup"",""labels"":[""EVENT""]},{""start"":42,""end"":47,""text"":""रोहित"",""labels"":[""PERSON""]},{""start"":48,""end"":52,""text"":""विराट"",""labels"":[""PERSON""]},{""start"":81,""end"":92,""text"":""Virat Kohli"",""labels"":[""PERSON""]},{""start"":95,""end"":107,""text"":""Rohit Sharma"",""labels"":[""PERSON""]}]","[{""start"":0,""end"":22,""text"":""World Cup Final 2023"",""labels"":[""NOUN""]},{""start"":23,""end"":25,""text"":""क्या"",""labels"":[""PRON""]},{""start"":26,""end"":33,""text"":""World Cup"",""labels"":[""PROPN""]},{""start"":34,""end"":36,""text"":""नहीं"",""labels"":[""PART_NEG""]},{""start"":37,""end"":42,""text"":""खेलेंगे"",""labels"":[""VERB""]},{""start"":43,""end"":45,""text"":""|"",""labels"":[""PUNCT""]},{""start"":46,""end"":47,""text"":""Virat Kohli"",""labels"":[""PROPN""]},{""start"":48,""end"":50,""text"":""|"",""labels"":[""PUNCT""]},{""start"":51,""end"":107,""text"":""Rohit Sharma"",""labels"":[""PROPN""]}]","World Cup Final 2023: क्या रोहित-विराट अब वर्ल्ड कप नहीं खेलेंगे | Virat Kohli | Rohit Sharma","2025-01-23T04:03:58.195306Z"
